colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
50,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,jilindequestionnaire_data_2022-02-01_0550::x50,,jilindequestionnaire_data_2022-02-01_0550,What type of flooring is your house?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,18. What type of flooring is your house?,"1, Cement | 2, Earth/sand/dung | 3, Wooden planks | 4, Tiles/linoleum/parquet | 96, Other",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
51,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,jilindequestionnaire_data_2022-02-01_0550::x51,,jilindequestionnaire_data_2022-02-01_0550,What type of flooring is your house?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Other specify,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,,,,Household,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,,multifilter,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
11,http://purl.obolibrary.org/obo/EUPATH_0015683,Interview date,jilindequestionnaire_data_2022-02-01_0550::x11,,jilindequestionnaire_data_2022-02-01_0550,Interview date,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,interview_date,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
7,http://purl.obolibrary.org/obo/EUPATH_0054549,Record date,jilindequestionnaire_data_2022-02-01_0550::x7,,jilindequestionnaire_data_2022-02-01_0550,Record date,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,record_date,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
46,http://purl.obolibrary.org/obo/EUPATH_0025150,Toilet type,jilindequestionnaire_data_2022-02-01_0550::x46,,jilindequestionnaire_data_2022-02-01_0550,What kind of toilet facility do you have in your house?,Household,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,16. What kind of toilet facility do you have in your house?,"1,Flush toilet | 2,Traditional pit latrine | 3,Ventilated/Improved pit/VIP toilet | 4,No facility/Bush/Field | 96,Other",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
47,http://purl.obolibrary.org/obo/EUPATH_0025150,Toilet type,jilindequestionnaire_data_2022-02-01_0550::x47,,jilindequestionnaire_data_2022-02-01_0550,What kind of toilet facility do you have in your house?,Household,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Other specify,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
44,http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,jilindequestionnaire_data_2022-02-01_0550::x44,,jilindequestionnaire_data_2022-02-01_0550,What is the MAIN source of drinking water for members of your household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,15. What is the MAIN source of drinking water for members of your household?,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
45,http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,jilindequestionnaire_data_2022-02-01_0550::x45,,jilindequestionnaire_data_2022-02-01_0550,What is the MAIN source of drinking water for members of your household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,Other specify,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
8,http://purl.obolibrary.org/obo/EUPATH_0053502,County code,jilindequestionnaire_data_2022-02-01_0550::x8,,jilindequestionnaire_data_2022-02-01_0550,County,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,county,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
1034,http://purl.obolibrary.org/obo/EUPATH_0055150,Data verification,jilindequestionnaire_data_2022-02-01_0550::x1034,,jilindequestionnaire_data_2022-02-01_0550,Data verification,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,data_verification,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
13,http://purl.obolibrary.org/obo/EUPATH_0053070,Interview language,jilindequestionnaire_data_2022-02-01_0550::x13,,jilindequestionnaire_data_2022-02-01_0550,Interview language ,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,language,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
1031,http://purl.obolibrary.org/obo/EUPATH_0058201,Questionnaire end time,jilindequestionnaire_data_2022-02-01_0550::x1031,,jilindequestionnaire_data_2022-02-01_0550,End time of questionnaire,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,end_time,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
12,http://purl.obolibrary.org/obo/EUPATH_0058202,Questionnaire start time ,jilindequestionnaire_data_2022-02-01_0550::x12,,jilindequestionnaire_data_2022-02-01_0550,Start time of questionnaire,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,start_time,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
1033,http://purl.obolibrary.org/obo/EUPATH_0058203,Remarks,jilindequestionnaire_data_2022-02-01_0550::x1033,,jilindequestionnaire_data_2022-02-01_0550,Remarks,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,remarks,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
65,http://purl.obolibrary.org/obo/EUPATH_0058204,Section I completed,jilindequestionnaire_data_2022-02-01_0550::x65,,jilindequestionnaire_data_2022-02-01_0550,Complete?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Complete?,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
271,http://purl.obolibrary.org/obo/EUPATH_0058205,Section II completed,jilindequestionnaire_data_2022-02-01_0550::x271,,jilindequestionnaire_data_2022-02-01_0550,Complete?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Complete?,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
583,http://purl.obolibrary.org/obo/EUPATH_0058206,Section III completed,jilindequestionnaire_data_2022-02-01_0550::x583,,jilindequestionnaire_data_2022-02-01_0550,Complete?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Complete?,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
853,http://purl.obolibrary.org/obo/EUPATH_0058207,Section IV completed,jilindequestionnaire_data_2022-02-01_0550::x853,,jilindequestionnaire_data_2022-02-01_0550,Complete?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Complete?,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
1035,http://purl.obolibrary.org/obo/EUPATH_0058208,Section V completed,jilindequestionnaire_data_2022-02-01_0550::x1035,,jilindequestionnaire_data_2022-02-01_0550,Section v complete,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,section_v_complete,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
1032,http://purl.obolibrary.org/obo/EUPATH_0058209,Total time of finishing questionnaire,jilindequestionnaire_data_2022-02-01_0550::x1032,,jilindequestionnaire_data_2022-02-01_0550,Total time of finishing the whole questionnaire,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,tot_time,,variable,,,,Demand_creation_evaluation_questionnaire,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
9,http://purl.obolibrary.org/obo/EUPATH_0058210,Type of respondent,jilindequestionnaire_data_2022-02-01_0550::x9,,jilindequestionnaire_data_2022-02-01_0550,Respondent,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,respondent,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
6,http://purl.obolibrary.org/obo/EUPATH_0054547,Consent completed,jilindequestionnaire_data_2022-02-01_0550::x6,,jilindequestionnaire_data_2022-02-01_0550,Consent complete,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,consent_complete,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
4,http://purl.obolibrary.org/obo/EUPATH_0054548,Consent date,jilindequestionnaire_data_2022-02-01_0550::x4,,jilindequestionnaire_data_2022-02-01_0550,Consent date,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,consent_date,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
3,http://purl.obolibrary.org/obo/EUPATH_0010420,Consent for enrollment given,jilindequestionnaire_data_2022-02-01_0550::x3,,jilindequestionnaire_data_2022-02-01_0550,Consent given,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,consent_given,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
2,http://purl.obolibrary.org/obo/EUPATH_0053030,Consent language,jilindequestionnaire_data_2022-02-01_0550::x2,,jilindequestionnaire_data_2022-02-01_0550,Consenting language,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,consenting_language,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
5,http://purl.obolibrary.org/obo/EUPATH_0051787,Reason not consented,jilindequestionnaire_data_2022-02-01_0550::x5,,jilindequestionnaire_data_2022-02-01_0550,Reasonfor notconsenting,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,reasonfor_notconsenting,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
19,http://purl.obolibrary.org/obo/OBI_0001169,Age,jilindequestionnaire_data_2022-02-01_0550::x19,,jilindequestionnaire_data_2022-02-01_0550,Age in completed years,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,3c. Age in completed years,,variable,,,,Demand_creation_evaluation_questionnaire,years,http://purl.obolibrary.org/obo/UO_0000036,yes,,,,,,
17,http://purl.obolibrary.org/obo/EUPATH_0048052,Birth month,jilindequestionnaire_data_2022-02-01_0550::x17,,jilindequestionnaire_data_2022-02-01_0550,Month of birth,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,3a. Month of birth,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
18,http://purl.obolibrary.org/obo/EUPATH_0030005,Birth year,jilindequestionnaire_data_2022-02-01_0550::x18,,jilindequestionnaire_data_2022-02-01_0550,Year of birth,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,3b. Year of birth,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
31,http://purl.obolibrary.org/obo/EUPATH_0054556,Consider as religious,jilindequestionnaire_data_2022-02-01_0550::x31,,jilindequestionnaire_data_2022-02-01_0550,"How religious do you consider yourself? Do you consider yourself strongly religious (or born again), somewhat religious, or not at all religious?",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"11. How religious do you consider yourself? Do you consider yourself strongly religious (or born again), somewhat religious, or not at all religious?","1,Strongly religious/born again | 2,Somewhat Religious | 3,Not at all religious",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
20,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,jilindequestionnaire_data_2022-02-01_0550::x20,,jilindequestionnaire_data_2022-02-01_0550,What is the highest level of education you completed?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,4. What is the highest level of education you completed?,"1,None | 2,Nursery/kindergarten | 3,Primary | 4,Secondary | 5,Tertiary/Vocational | 6,College/University | 7,Adult education | 96,Other",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
21,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,jilindequestionnaire_data_2022-02-01_0550::x21,,jilindequestionnaire_data_2022-02-01_0550,Other specify,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Other specify,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
23,http://purl.obolibrary.org/obo/EUPATH_0054162,Live with partner,jilindequestionnaire_data_2022-02-01_0550::x23,,jilindequestionnaire_data_2022-02-01_0550,"Is regular your partner currently living with you now, or does s/he stay elsewhere?",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"6. Is regular your partner currently living with you now, or does s/he stay elsewhere?",,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
52,http://purl.obolibrary.org/obo/EUPATH_0000354,Main source of income,jilindequestionnaire_data_2022-02-01_0550::x52,,jilindequestionnaire_data_2022-02-01_0550,What is your MAIN source of income?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,19. What is your MAIN source of income?,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
53,http://purl.obolibrary.org/obo/EUPATH_0000354,Main source of income,jilindequestionnaire_data_2022-02-01_0550::x53,,jilindequestionnaire_data_2022-02-01_0550,What is your MAIN source of income?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Other specify,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
22,http://purl.obolibrary.org/obo/EUPATH_0000374,Marital status,jilindequestionnaire_data_2022-02-01_0550::x22,,jilindequestionnaire_data_2022-02-01_0550,What is your current marital status?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,5. What is your current marital status?,"1, Single/Not married | 2, Married | 3, Cohabiting | 4, Divorced | 5, Separated | 6, Widowed | 7, In a relationship",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
54,http://purl.obolibrary.org/obo/EUPATH_0054180,Monthly income in local currency,jilindequestionnaire_data_2022-02-01_0550::x54,,jilindequestionnaire_data_2022-02-01_0550,What is your net average monthly income from all sources in (Kshs)?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,20. What is your net average monthly income from all sources in (Kshs)?,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
29,http://purl.obolibrary.org/obo/EUPATH_0048278,Religion,jilindequestionnaire_data_2022-02-01_0550::x29,,jilindequestionnaire_data_2022-02-01_0550,What is your religion?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,10. What is your religion?,"1,Roman Catholic | 2,Protestant/ Other Christian | 3,Seventh Day Adventist | 4,Muslim | 6,No religion | 96,Other",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
30,http://purl.obolibrary.org/obo/EUPATH_0048278,Religion,jilindequestionnaire_data_2022-02-01_0550::x30,,jilindequestionnaire_data_2022-02-01_0550,What is your religion?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Other specify,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
15,http://purl.obolibrary.org/obo/EUPATH_0054276,Self-defined gender,jilindequestionnaire_data_2022-02-01_0550::x15,,jilindequestionnaire_data_2022-02-01_0550,How would you describe your current sexual orientation?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,2. How would you describe your current sexual orientation?,"1, Homosexual/Gay | 2, Bisexual | 3, Heterosexual/Straight | 4, Transgender Male | 5, Transgender Female | 96, Other | 98, Don't Know | 99, Decline to state",variable,,,,Demand_creation_evaluation_questionnaire,,,yes,,,,,,
16,http://purl.obolibrary.org/obo/EUPATH_0054276,Self-defined gender,jilindequestionnaire_data_2022-02-01_0550::x16,,jilindequestionnaire_data_2022-02-01_0550,How would you describe your current sexual orientation?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Other specify,,variable,,,,Demand_creation_evaluation_questionnaire,,,yes,,,,,,
14,http://purl.obolibrary.org/obo/PATO_0000047,Sex,jilindequestionnaire_data_2022-02-01_0550::x14,,jilindequestionnaire_data_2022-02-01_0550,What was your sex at birth?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,1. What was your sex at birth?,"1, Male | 2, Female",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
27,http://purl.obolibrary.org/obo/EUPATH_0054555,Time living in dwelling by month,jilindequestionnaire_data_2022-02-01_0550::x27,,jilindequestionnaire_data_2022-02-01_0550,Months,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,a. Months,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
25,http://purl.obolibrary.org/obo/EUPATH_0051850,Total children count,jilindequestionnaire_data_2022-02-01_0550::x25,,jilindequestionnaire_data_2022-02-01_0550,How many children do you have (By birth and adopted)?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,8. How many children do you have (By birth and adopted)?,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
24,http://purl.obolibrary.org/obo/EUPATH_0054330,Have children,jilindequestionnaire_data_2022-02-01_0550::x24,,jilindequestionnaire_data_2022-02-01_0550,Do you have any children?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,7. Do you have any children?,"1, Yes | 2, No",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
313,http://purl.obolibrary.org/obo/EUPATH_0054750,Average time on listening to radio,jilindequestionnaire_data_2022-02-01_0550::x313,,jilindequestionnaire_data_2022-02-01_0550,"On average, how much time do you spend listening to radio every day?",Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,"94. On average, how much time do you spend listening to radio every day?","1,Less than one hour | 2,One to two hours | 3,Two to three hours | 4,Three to four hours | 5,More than four hours",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
359,http://purl.obolibrary.org/obo/EUPATH_0054790,Average time on watching TV,jilindequestionnaire_data_2022-02-01_0550::x359,,jilindequestionnaire_data_2022-02-01_0550,"On average, how much time do you spend watching television every day?",Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,"106. On average, how much time do you spend watching television every day?","1,Less than one hour | 2,One to two hours | 3,Two to three hours | 4,Three to four hours | 5,More than four hours",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
358,http://purl.obolibrary.org/obo/EUPATH_0054789,Day that what TV most,jilindequestionnaire_data_2022-02-01_0550::x358,,jilindequestionnaire_data_2022-02-01_0550,Which days do you watch television the most?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,105. Which days do you watch television the most?,"1,Weekdays (Monday to Friday) | 2,Weekends (Saturday or Sunday) | 3,Both",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0054545,Favorite time for watching TV,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,,,multifilter,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
311,http://purl.obolibrary.org/obo/EUPATH_0054748,Frequency of listening to radio in last month,jilindequestionnaire_data_2022-02-01_0550::x311,,jilindequestionnaire_data_2022-02-01_0550,"In the last one month, how often have you listened to the radio? Would you say it was",Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,"92. In the last one month, how often have you listened to the radio? Would you say it was...?","1,Every day | 2,Two or more days in a week | 3,At least once a week | 4,Less than once a week",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
292,http://purl.obolibrary.org/obo/EUPATH_0054712,Frequency of reading magazines,jilindequestionnaire_data_2022-02-01_0550::x292,,jilindequestionnaire_data_2022-02-01_0550,How often do you read magazines? Would you say it was,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,85. How often do you read magazines? Would you say it was..,"1, A few times a year | 2, Once or twice a month | 3, Two or more days in a week | 4, Every day",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
273,http://purl.obolibrary.org/obo/EUPATH_0054677,Frequency of reading newspapers,jilindequestionnaire_data_2022-02-01_0550::x273,,jilindequestionnaire_data_2022-02-01_0550,How often do you read newspapers? Would you say it is,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,78. How often do you read newspapers? Would you say it is..,"1, A few times a year | 2, Once or twice a month | 3, At least once a week | 4, Every day or almost everyday",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0054546,Frequency of visiting social networking sites,,,,How often do you visit social networking sites,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,126. How often do you visit social networking sites,,multifilter,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
357,http://purl.obolibrary.org/obo/EUPATH_0054788,Frequency of watching TV,jilindequestionnaire_data_2022-02-01_0550::x357,,jilindequestionnaire_data_2022-02-01_0550,"In the last one month, how often have you watched television? Would you say it was",Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,"104. In the last one month, how often have you watched television? Would you say it was..","1, Every day | 2, Two or more days in a week | 3, At least once a week | 4, Less than once a week",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
505,http://purl.obolibrary.org/obo/EUPATH_0054945,Have been approached by community health volunteer in last one year,jilindequestionnaire_data_2022-02-01_0550::x505,,jilindequestionnaire_data_2022-02-01_0550,"In the past one year, have you been approached by a community health volunteer (CHV) providing information about PrEP?",Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,"143. In the past one year, have you been approached by a community health volunteer (CHV) providing information about PrEP?","1, Yes | 2, No | 98, Don't Know",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
532,http://purl.obolibrary.org/obo/EUPATH_0054945,Have been approached by community health volunteer in last one year,jilindequestionnaire_data_2022-02-01_0550::x532,,jilindequestionnaire_data_2022-02-01_0550,"In the past one year, have you been approached by a Peer Educator/Youth Peer Provider (YPP) providing information about PrEP?",Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,"147. In the past one year, have you been approached by a Peer Educator/Youth Peer Provider (YPP) providing information about PrEP?","1, Yes | 2, No | 98, Don't Know",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
450,http://purl.obolibrary.org/obo/EUPATH_0054873,Have seen or heard  PrEP messages on Facebook,jilindequestionnaire_data_2022-02-01_0550::x450,,jilindequestionnaire_data_2022-02-01_0550,Have you seen or heard any PrEP messages on Facebook?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,127. Have you seen or heard any PrEP messages on Facebook?,"1, Frequently | 2, 3 times a day | 3, Once a day | 4, Once a week | 5, Once a month",value,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
293,http://purl.obolibrary.org/obo/EUPATH_0054722,Magazines that read most specified,jilindequestionnaire_data_2022-02-01_0550::x293,,jilindequestionnaire_data_2022-02-01_0550,Which magazines do you read most?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,86. Which magazines do you read most?,"1,Parents | 2,True Love | 3,Couture Africa | 4,Drum | 5,Msafiri | 6,CIO Africa | 7,Healthy Woman | 8,African Woman | 96,Other",variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
294,http://purl.obolibrary.org/obo/EUPATH_0054722,Magazines that read most specified,jilindequestionnaire_data_2022-02-01_0550::x294,,jilindequestionnaire_data_2022-02-01_0550,Which magazines do you read most?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,Other specify,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
325,http://purl.obolibrary.org/obo/EUPATH_0054760,Most favorite radio Program 1,jilindequestionnaire_data_2022-02-01_0550::x325,,jilindequestionnaire_data_2022-02-01_0550,Radio Program 1,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,a. Radio Program 1,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
